Roll 1: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 43301: (+1/3) 2 × T2 | R%: 3.087% (1 in 32.396) | 30.8 ★ [+8.8]
Roll 43302: (+3/4) 1 × T2 | R%: 18.521% (1 in 5.399) | 21.45 ★ [+11.7]
Roll 43303: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 43304: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 43305: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 43306: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 43307: (+5/6) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.0 ★ [+2.0]
Roll 43308: (+6/8) 2 × T1 | R%: 9.26% (1 in 10.799) | 15.3 ★ [+10.8]
Roll 43309: (+8/9) 1 × T1 | R%: 55.563% (1 in 1.8) | 4.2 ★ [+3.2]
Roll 43310: (+9/10) 1 × T1 | R%: 55.563% (1 in 1.8) | 4.6 ★ [+3.6]
Roll 43311: (+10/11) 1 × T1 | R%: 55.563% (1 in 1.8) | 5.0 ★ [+4.0]
Roll 43312: (+11/13) 2 × T1 | R%: 9.26% (1 in 10.799) | 24.3 ★ [+19.8]
Roll 43313: 2 × T2 | R%: 3.087% (1 in 32.396) | 22.0 ★
Roll 43314: (+2/3) 1 × T2 | R%: 18.521% (1 in 5.399) | 17.55 ★ [+7.8]
Roll 43315: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 43316: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 43317: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 43318: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 43319: (+2/4) 2 × T1 | R%: 9.26% (1 in 10.799) | 8.1 ★ [+3.6]
Roll 43320: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 43321: (+5/7) 2 × T1 | R%: 9.26% (1 in 10.799) | 13.5 ★ [+9.0]
Roll 43322: (+7/8) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.8 ★ [+2.8]
Roll 43323: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 43324: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 43325: 1 × T4 | R%: 2.058% (1 in 48.594) | 147.56 ★
Roll 43326: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 43327: (+1/3) 2 × T1 | R%: 9.26% (1 in 10.799) | 6.3 ★ [+1.8]
Roll 43328: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 43329: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 43330: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 43331: 3 × T1 | R%: 1.543% (1 in 64.792) | 8.0 ★
Roll 43332: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 43333: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 43334: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 43335: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 43336: (+1/3) 2 × T1 | R%: 9.26% (1 in 10.799) | 6.3 ★ [+1.8]
Roll 43337: 2 × T3 | R%: 1.029% (1 in 97.187) | 83.26 ★
Roll 43338: (+2/3) 1 × T3 | R%: 6.174% (1 in 16.198) | 72.68 ★ [+32.3]
Roll 43339: (+3/5) 2 × T3 | R%: 1.029% (1 in 97.187) | 183.17 ★ [+99.91]
Roll 43340: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 43341: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 43342: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 43343: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 43344: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 43345: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 43346: (+5/6) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.0 ★ [+2.0]
Roll 43347: (+6/7) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.4 ★ [+2.4]
Roll 43348: (+7/8) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.8 ★ [+2.8]
Roll 43349: (+8/9) 1 × T1 | R%: 55.563% (1 in 1.8) | 4.2 ★ [+3.2]
Roll 43350: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 43351: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 43352: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 43353: (+1/2) 1 × T2 | R%: 18.521% (1 in 5.399) | 13.65 ★ [+3.9]
Roll 43354: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 43355: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 43356: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 43357: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 43358: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 43359: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 43360: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 43361: (+1/2) 1 × T2 | R%: 18.521% (1 in 5.399) | 13.65 ★ [+3.9]
Roll 43362: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 43363: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 43364: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 43365: 4 × T1 | R%: 0.257% (1 in 388.75) | 11.5 ★
Roll 43366: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 43367: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 43368: (+1/3) 2 × T1 | R%: 9.26% (1 in 10.799) | 6.3 ★ [+1.8]
Roll 43369: (+3/5) 2 × T1 | R%: 9.26% (1 in 10.799) | 9.9 ★ [+5.4]
Roll 43370: (+5/6) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.0 ★ [+2.0]
Roll 43371: (+6/7) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.4 ★ [+2.4]
Roll 43372: (+7/8) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.8 ★ [+2.8]
Roll 43373: (+8/9) 1 × T1 | R%: 55.563% (1 in 1.8) | 4.2 ★ [+3.2]
Roll 43374: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 43375: 2 × T2 | R%: 3.087% (1 in 32.396) | 22.0 ★
Roll 43376: (+2/3) 1 × T2 | R%: 18.521% (1 in 5.399) | 17.55 ★ [+7.8]
Roll 43377: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 43378: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 43379: 2 × T2 | R%: 3.087% (1 in 32.396) | 22.0 ★
Roll 43380: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 43381: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 43382: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 43383: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 43384: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 43385: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 43386: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 43387: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 43388: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 43389: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 43390: 2 × T2 | R%: 3.087% (1 in 32.396) | 22.0 ★
Roll 43391: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 43392: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 43393: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 43394: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 43395: 3 × T2 | R%: 0.514% (1 in 194.375) | 34.25 ★
Roll 43396: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 43397: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 43398: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 43399: (+1/2) 1 × T3 | R%: 6.174% (1 in 16.198) | 56.53 ★ [+16.15]
Roll 43400: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 43401: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 43402: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 43403: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 43404: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 43405: (+5/6) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.0 ★ [+2.0]
Roll 43406: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 43407: (+1/2) 1 × T2 | R%: 18.521% (1 in 5.399) | 13.65 ★ [+3.9]
Roll 43408: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 43409: (+2/4) 2 × T1 | R%: 9.26% (1 in 10.799) | 8.1 ★ [+3.6]
Roll 43410: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 43411: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 43412: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 43413: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 43414: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 43415: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 43416: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 43417: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 43418: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 43419: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 43420: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 43421: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 43422: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 43423: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 43424: (+1/3) 2 × T2 | R%: 3.087% (1 in 32.396) | 30.8 ★ [+8.8]
Roll 43425: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 43426: (+1/2) 1 × T3 | R%: 6.174% (1 in 16.198) | 56.53 ★ [+16.15]
Roll 43427: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 43428: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 43429: 1 × T6 | R%: 0.229% (1 in 437.344) | 1835.77 ★
Roll 43430: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 43431: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 43432: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 43433: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 43434: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 43435: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 43436: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 43437: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 43438: (+2/4) 2 × T1 | R%: 9.26% (1 in 10.799) | 8.1 ★ [+3.6]
Roll 43439: 2 × T2 | R%: 3.087% (1 in 32.396) | 22.0 ★
Roll 43440: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 43441: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 43442: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 43443: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 43444: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 43445: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 43446: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 43447: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 43448: (+5/6) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.0 ★ [+2.0]
Roll 43449: (+6/7) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.4 ★ [+2.4]
Roll 43450: (+7/8) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.8 ★ [+2.8]
Roll 43451: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 43452: (+1/2) 1 × T2 | R%: 18.521% (1 in 5.399) | 13.65 ★ [+3.9]
Roll 43453: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 43454: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 43455: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 43456: (+1/4) 3 × T1 | R%: 1.543% (1 in 64.792) | 11.2 ★ [+3.2]
Roll 43457: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 43458: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 43459: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 43460: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 43461: (+2/4) 2 × T1 | R%: 9.26% (1 in 10.799) | 8.1 ★ [+3.6]
Roll 43462: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 43463: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 43464: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 43465: 2 × T2 | R%: 3.087% (1 in 32.396) | 22.0 ★
Roll 43466: 3 × T1 | R%: 1.543% (1 in 64.792) | 8.0 ★
Roll 43467: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 43468: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 43469: (+5/6) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.0 ★ [+2.0]
Roll 43470: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 43471: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 43472: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 43473: (+3/5) 2 × T1 | R%: 9.26% (1 in 10.799) | 9.9 ★ [+5.4]
Roll 43474: 1 × T5 | R%: 0.686% (1 in 145.781) | 522.72 ★
Roll 43475: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 43476: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 43477: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 43478: (+3/5) 2 × T1 | R%: 9.26% (1 in 10.799) | 9.9 ★ [+5.4]
Roll 43479: (+5/6) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.0 ★ [+2.0]
Roll 43480: (+6/7) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.4 ★ [+2.4]
Roll 43481: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 43482: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 43483: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 43484: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 43485: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 43486: (+1/3) 2 × T1 | R%: 9.26% (1 in 10.799) | 6.3 ★ [+1.8]
Roll 43487: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 43488: 2 × T4 | R%: 0.343% (1 in 291.562) | 297.62 ★
Roll 43489: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 43490: (+1/2) 1 × T2 | R%: 18.521% (1 in 5.399) | 13.65 ★ [+3.9]
Roll 43491: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 43492: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 43493: 1 × T4 | R%: 2.058% (1 in 48.594) | 147.56 ★
Roll 43494: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 43495: (+2/5) 3 × T1 | R%: 1.543% (1 in 64.792) | 14.4 ★ [+6.4]
Roll 43496: (+5/7) 2 × T1 | R%: 9.26% (1 in 10.799) | 13.5 ★ [+9.0]
Roll 43497: (+7/8) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.8 ★ [+2.8]
Roll 43498: (+8/9) 1 × T1 | R%: 55.563% (1 in 1.8) | 4.2 ★ [+3.2]
Roll 43499: (+9/11) 2 × T1 | R%: 9.26% (1 in 10.799) | 20.7 ★ [+16.2]
Roll 43500: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 43501: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 43502: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 43503: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 43504: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 43505: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 43506: (+1/2) 1 × T2 | R%: 18.521% (1 in 5.399) | 13.65 ★ [+3.9]
Roll 43507: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 43508: 1 × T4 | R%: 2.058% (1 in 48.594) | 147.56 ★
Roll 43509: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 43510: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 43511: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 43512: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 43513: (+1/3) 2 × T2 | R%: 3.087% (1 in 32.396) | 30.8 ★ [+8.8]
Roll 43514: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 43515: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 43516: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 43517: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 43518: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 43519: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 43520: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 43521: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 43522: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 43523: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 43524: 1 × T4 | R%: 2.058% (1 in 48.594) | 147.56 ★
Roll 43525: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 43526: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 43527: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 43528: (+2/4) 2 × T1 | R%: 9.26% (1 in 10.799) | 8.1 ★ [+3.6]
Roll 43529: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 43530: (+5/6) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.0 ★ [+2.0]
Roll 43531: (+6/7) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.4 ★ [+2.4]
Roll 43532: (+7/8) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.8 ★ [+2.8]
Roll 43533: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 43534: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 43535: (+2/4) 2 × T1 | R%: 9.26% (1 in 10.799) | 8.1 ★ [+3.6]
Roll 43536: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 43537: (+5/6) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.0 ★ [+2.0]
Roll 43538: 2 × T5 | R%: 0.114% (1 in 874.687) | 1047.94 ★
Roll 43539: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 43540: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 43541: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 43542: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 43543: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 43544: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 43545: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 43546: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 43547: (+1/2) 1 × T2 | R%: 18.521% (1 in 5.399) | 13.65 ★ [+3.9]
Roll 43548: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 43549: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 43550: (+1/2) 1 × T2 | R%: 18.521% (1 in 5.399) | 13.65 ★ [+3.9]
Roll 43551: (+2/3) 1 × T2 | R%: 18.521% (1 in 5.399) | 17.55 ★ [+7.8]
Roll 43552: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 43553: (+1/3) 2 × T1 | R%: 9.26% (1 in 10.799) | 6.3 ★ [+1.8]
Roll 43554: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 43555: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 43556: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 43557: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 43558: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 43559: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 43560: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 43561: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 43562: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 43563: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 43564: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 43565: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 43566: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 43567: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 43568: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 43569: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 43570: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 43571: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 43572: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 43573: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 43574: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 43575: 1 × T4 | R%: 2.058% (1 in 48.594) | 147.56 ★
Roll 43576: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 43577: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 43578: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 43579: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 43580: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 43581: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 43582: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 43583: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 43584: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 43585: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 43586: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 43587: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 43588: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 43589: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 43590: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 43591: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 43592: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 43593: (+1/2) 1 × T2 | R%: 18.521% (1 in 5.399) | 13.65 ★ [+3.9]
Roll 43594: (+2/3) 1 × T2 | R%: 18.521% (1 in 5.399) | 17.55 ★ [+7.8]
Roll 43595: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
